tweet_index,tweet_id,date,text,phase,emotions,like_count,retweet_count,impression_count,reply_count,gender,org,matched_keywords,gold_problem,gold_emotion,gold_meaning,gpt_avoidance,gpt_confidence,gpt_reasoning
30,1624925352886771713,2023-02-13 00:16:08,"@elonmusk Deprem ve uzaylı! Mesaj alındı.
#Deprem #ufotwitter #uzaylılar https://t.co/jPDpojbxWG",3,['notr'],0,0,212,0,male,person,['#deprem'],0,0,0,1,high,"Tweet, depremi uzaylılarla ilişkilendirerek ironi yapıyor ve konuyu hafifletiyor."
31,1627827191181369344,2023-02-21 00:27:00,"Sakince yoruldum … 
Gözlerime belki uyku girmeyecek bu gece ama bu gece kesinlikle unutulmayacak…
#depremoldu 
#samandag 
#mersindeprem  #mersin  #deprem",4,"['kaygi', 'uzuntu']",5,0,1406,0,female,person,['#deprem'],0,1,0,0,high,"Tweet, duygusal bir ifade olan yorgunluk ve unutulmaz bir gece yaşama hissini dile getiriyor."
32,1625958397739761674,2023-02-15 20:41:05,"MERKEZ BANKASI

Milletin malını millete bağışlayan kurum!

Made in AKP

#deprem",3,"['onaylamama', 'ofke']",25,11,977,1,male,person,['#deprem'],0,0,1,0,high,"Tweet, Merkez Bankası üzerinden AKP'ye yönelik eleştiri yaparak ideolojik bir anlam çıkarıyor."
33,1627831079024353280,2023-02-21 00:42:27,"İmitasyon Goebbels: 

""Kasıtlı dezenformasyon faaliyeti yürütülmektedir"" 
#deprem #Hatay https://t.co/eV1I3U5qKG",4,['notr'],12,1,2069,0,male,person,['#deprem'],0,0,1,1,high,"Tweet, ironi ve anlam çıkarma içeriyor; dezenformasyon eleştirisi ve Goebbels benzetmesi yapıyor."
34,1623472349524766722,2023-02-09 00:02:25,Arkadaşlar bu önemli herkese iletin afet bölgelerine gelen yardımlar belli noktalara kadar gelebiliyor bu yardımlardan da belli bir kesim faydalanabiliyor enkaz altında kalanların yakınları binanın başından ayrilmadiklari için faydalanamiyirlar buna mecalleri de yok yardımların+,2,['notr'],3,2,550,1,male,person,['enkaz'],1,0,0,0,high,"Tweet, yardım koordinasyonu ve kaynak yönlendirme ile ilgili bilgi paylaşımı yapmaktadır."
35,1622707288120107008,2023-02-06 21:22:20,Acil destek olur musunuz. Bu bölgeye acil gidebilir mi yakın olan birileri Sercan Şirin kızı ile kurtarılmayı bekliyormuş ve henüz müdahale edilmemiş. #deprem #AFAD #AHBAP https://t.co/0FbpwOKly6,1,['notr'],1,3,598,0,female,person,"['#deprem', 'AFAD']",1,0,0,0,high,"Tweet, yardım çağrısı yaparak pratik bir çözüm arayışında olduğu için problem odaklıdır."
36,1624928574611357696,2023-02-13 00:28:56,@Yusaisback Yaklaşık bu ve bunun gibi 20 hesap gördüm hepsinin paylaşımları aynı @OguzhanUgur veya @BabalaTv hakkında ve hepsi linç kampanyasının bir parçası daha enkaz altında insanlar varken ve bu insanlara elinden geldiğince yardım etmeye çalışanları bari karalamayın vallahi ayıptır ya,3,"['onaylamama', 'ofke']",0,0,68,0,male,person,['enkaz'],0,0,1,0,high,"Tweet, linç kampanyası ve yardım etmeye çalışanların karalanması üzerinden toplumsal bir eleştiri yapıyor."
37,1627831901770612738,2023-02-21 00:45:43,"Dhkp-c, MLKP ve pkk lı bir terörist olduğunu düşündüğüm söz de millet vekilinin vekilliği düşürülüp hesap vermeli. İnsanların ölümüne sebebiyet vermekten yargılanmalı.
#deprem 
@adalet_bakanlik
@TC_icisleri
@bybekirbozdag https://t.co/RViL4LWB9G",4,['ofke'],192,71,2053,0,male,person,['#deprem'],0,0,1,0,high,"Tweet, bir milletvekiline terörist suçlaması yaparak hesap sorulması gerektiğini belirtiyor, bu da sorumluluk atfı ve toplumsal anlam çıkarma içeriyor."
38,1622598073993117699,2023-02-06 14:08:21,"Adıyaman kalesi çevresinde yıkılan binalarin altında kalan kişiler var, afad yok yardım edin lütfen",1,['notr'],9,2,461,1,female,person,['AFAD'],1,1,0,0,high,"Tweet, yardım çağrısı yaparak pratik çözüm arayışında ve duygusal bir yardım talebi içeriyor."
39,1623472352766861315,2023-02-09 00:02:26,"@dedektifjoker Haber doğru. Ancak amaçları enkaz alanlarında altın, para gibi değerli eşyaları çalmak. Neyse ki abim birinin kafasını kırdı. Diğer kişileri de halk dövdü.",2,['notr'],48,3,3553,0,male,person,['enkaz'],0,0,1,0,medium,"Tweet, enkaz alanlarında hırsızlık yapıldığına dair bir iddia ve halkın tepkisini içeriyor, bu da toplumsal bir sorun ve sorumluluk atfı içeriyor."
40,1622677878792982542,2023-02-06 19:25:28,Lütfen çok acil hataya yardım lazım hava çok soğuk yiyecek  yok su yok battaniye yok arama kurtarma ekipleri yok. Enkaz altında çok fazla insan var ve henüz çalışmalar başlamamış durumda. LÜTFEN YAYALIM  #deprem #AFAD #AFADhatay #Hatay,1,['notr'],2,2,245,1,male,person,"['#deprem', 'deprem yardım', 'enkaz', 'AFAD']",1,1,0,0,high,"Tweet, yardım çağrısı yaparak pratik çözüm arayışında ve duygusal bir aciliyet ifade ediyor."
41,1627824309799362561,2023-02-21 00:15:33,@hak_as @AlpErtugrul83 @RTErdogan @murat_kurum @varank @ValiMustafaCftc @crmbelediyesi @AhmetSCeylan @Selcuk @AFADBaskanlik @yusufahlatci Lütfen agaç kolonları da mı görmüyorsunuz:)),4,['notr'],1,0,92,0,male,person,['AFAD'],0,0,0,1,high,"Tweet, ironi yaparak konuyu hafifletmeye çalışıyor."
42,1623271957692092419,2023-02-08 10:46:08,Şükrü Saraçoğlu Stadyumunda hummalı bir şekilde çalışma devam ediyor. Yardım getirecek arkadaşlar lütfen AFAD İHTİYAÇ LİSTESİ haricinde herhangi bir şey getirmeyin. Bilmeyenler için ihtiyaç listesi 👇🏻 https://t.co/3tx4LCKXXv,1,['notr'],51,36,5084,2,male,person,['AFAD'],1,0,0,0,high,"Tweet, AFAD ihtiyaç listesi paylaşarak yardım koordinasyonu ve kaynak yönlendirme yapıyor."
43,1627831856120070145,2023-02-21 00:45:32,"Acı bedeller ödüyoruz ülkece. Tahliye süreci bittiğinde, bölge dizaynı bittiğinde, haritalarda yer değişikliği bittiğinde 'deprem' bitecek. Çünkü doğal değil. Psikolojinizi sağlam tutun. Daha enkazın 40'ı çıkmadan akıllı şehirlerden bahsediliyor. Google maps haritadan siliyor.",4,"['onaylamama', 'uzuntu']",2262,490,193833,63,male,person,['enkaz'],0,0,1,0,high,"Tweet, depremin doğal olmadığını ve sorumluluk atfı yaparak toplumsal bir anlam çıkarma çabası içeriyor."
44,1623472387634126849,2023-02-09 00:02:34,"@alniopulesitivt Hatay/ Antakya Odabaşı mahallesi Uğur Mumcu Bulvarı, Bilge Can Apartmanı 72 saattir haber alınamıyor Acil yardım
Ahlem Kılıçoğlu İki çocuğu ve eşiyle birlikte enkaz altında.. Yardım edin Lütfen @haluklevent @sjw_erlik @jahreindota @OguzhanUgur @BabalaTv @AFADBaskanlik https://t.co/JRcFvwzxNH",2,['notr'],0,0,9,0,male,person,"['enkaz', 'AFAD']",1,0,0,0,high,"Tweet, enkaz altında kalan kişiler için acil yardım çağrısı yaparak pratik bir çözüm sunuyor."
45,1622435830076776448,2023-02-06 03:23:39,"!!!
AFAD UYGULAMASİ UZERİNDEN ENKAZ ALTİNDAYİMA TİKLAMANİZ DURUMUNDA ACİL OLARAK TUM KOORDİNATLARİNİZ AFADA ULAŞIR YAYALIM!

YARDIM EDİN
yıkılan
#DEPREMOLDU 
#deprem 
#Diyarbakir 
#Gaziantep 
#Hatay https://t.co/plxkwan0lK",1,['notr'],2,7,2766,0,male,person,"['#deprem', '#Gaziantep', 'deprem yardım', 'enkaz', 'AFAD']",1,0,0,0,high,"Tweet, AFAD uygulaması üzerinden enkaz altında olanların koordinatlarının paylaşılmasını önererek pratik bir çözüm sunuyor."
46,1622462369363288066,2023-02-06 05:09:07,Diyarbakır iskan evleri nolur yardım edin hala ulaşım sağlayamıyoruz #AFAD #Diyarbakir #deprem #ACİL #sanliurfa,1,['notr'],3,2,690,0,female,person,"['#deprem', 'deprem yardım', 'AFAD']",1,0,0,0,high,"Tweet, yardım çağrısı yaparak pratik bir çözüm arayışında olduğu için problem odaklı başlık altında değerlendirildi."
47,1622413038006542336,2023-02-06 01:53:05,Tüm ülkeyi bu kadar etkileyen bir deprem hiç olmamıştı #DEPREMOLDU,1,['notr'],65,1,3696,2,male,person,['#deprem'],0,0,1,0,high,"Tweet, depremin ülke çapında etkisini vurgulayarak toplumsal bir anlam çıkarıyor."
48,1622414280564801536,2023-02-06 01:58:02,@goandkillthem @DepremDairesi @AFADBaskanlik @trthaber @anadoluajansi Geçmiş olsun allah yardımcınız olsun,1,['ofke'],0,0,1616,0,male,person,"['deprem yardım', 'AFAD']",0,1,0,0,high,"Tweet, 'Geçmiş olsun' ve 'Allah yardımcınız olsun' ifadeleriyle duygusal destek ve iyi dileklerde bulunuyor."
49,1627821326734950400,2023-02-21 00:03:42,"Efendimiz s.a.v Nasılsanız öyle yönetilirsiniz demiş.
Kula kulluk etmeyi bırakıp tevbe edin, var yine kime oy verirseniz verin ama kula kulluk etmeyin kulluk ALLAH a olur...

#depremoldu #kıyamet enes Şubat Ya Tabbi 
Kaderden",4,['kaygi'],0,0,556,0,male,person,['#deprem'],0,0,1,0,high,"Tweet, dini ve ideolojik bir anlam çıkararak sorumluluk atfında bulunuyor."
50,1622405547768037376,2023-02-06 01:23:20,çok kötü sallandık #deprem #Diyarbakır,1,['uzuntu'],1,0,1083,0,male,org,['#deprem'],0,1,0,0,high,"Tweet, deprem sırasında yaşanan korku ve çaresizliği ifade eden duygusal bir tepki içeriyor."
51,1622620840943656961,2023-02-06 15:38:49,"Sizler enkaz altında,bizler ekran karşısında çaresiziz.",1,['uzuntu'],1,0,81,0,male,person,['enkaz'],0,1,0,0,high,"Tweet, çaresizlik duygusunu ifade ettiği için emotion_focused kategorisine girer."
52,1623686071820161025,2023-02-09 14:11:40,"Yeter Yahu Yeter..😡😡😡

Hatay’a yardım gelmiyor diyen İsmail Saymaz’a canlı yayında tepki:

“Provokatörlük yapma,helikopterlere bak”

Bir İnsan Nasıl Bu Kadar Alçalabilir...

Yahu Bu CeHaPe Yalamaları Ne Zaman Adam Olacak 😡😡
#depremsondakika
#AlBütünOylarSeninOlsunKemal https://t.co/e2q9to1xpj",2,['ofke'],53,26,10092,10,male,person,"['#deprem', 'deprem yardım']",0,1,1,0,high,"Tweet, öfke ve hayal kırıklığı gibi duygusal ifadeler içeriyor ve siyasi bir eleştiri yaparak anlam çıkarma çabası gösteriyor."
53,1623471812003635202,2023-02-09 00:00:17,@zainabkaratash 1 tane ülkende ki deprem için twit yok şu Twite bakın hele😡 cok seviyorsan yürü git orda yaşa kardeşim toplamda 15 milyon Türk halkı depremi en acı şekilde yaşadı 10 bin bina çöktü hala enkaz altında binlerce can var sen Suriye güzellemesi yapıyorsun Allah senin yanına birakmsin,2,['ofke'],0,0,59,0,female,person,['enkaz'],0,1,1,0,high,"Tweet, duygusal ifadeler ve sorumluluk atfı içeriyor; öfke ve eleştiri belirgin."
54,1627829871471652865,2023-02-21 00:37:39,@nedenttoldu Ne yapsınlar peki? Herkes yapılmaması gerekeni söylüyor. Ne yapsınlar ? #tcdd seferlere ekleme yapsın bölgeden. Bizim için degil. Kalmadı halleri kalmadı bu insanların #depremoldu #hataydeprem #tcddekseferkoy,4,['ofke'],0,0,233,0,male,person,['#deprem'],1,0,0,0,high,"Tweet, TCDD'nin bölgeden ek seferler koyması gibi pratik bir çözüm önerisi sunuyor."
55,1623472112194228225,2023-02-09 00:01:28,75 Yaşında Bekir Amca 71 Saat sonra olağan üstü çalışma ile enkazdan sağ çıkarıldı. Allah Gönüllü çalışan tüm ekipten razı olsun.,2,['minnet'],1,0,168,0,male,person,['enkaz'],0,1,0,0,high,"Tweet, duygusal bir ifade olan şükran ve dua içeriyor."
56,1622645596430401548,2023-02-06 17:17:12,"🔴ACİL! 
Vilko Sitesi, Belediye evleri Çukurova Adana'da solunum cihazına bağlı yaşayan 2 kardeşimiz için ACİL jeneratör ve benzine ihtiyaç var. Hayati tehlikeleri var.  
 
İrtibat: Ecem , Aysel Doğru : 0543 685 65 95 / 0536 546 97 22 @DepremDairesi @AFADBaskanlik @OguzhanUgur",1,['notr'],9,10,387,1,male,person,['AFAD'],1,0,0,0,high,"Tweet, jeneratör ve benzin ihtiyacı olan kişilere yardım çağrısı yaparak pratik bir çözüm sunuyor."
57,1623472287356792834,2023-02-09 00:02:10,"Enkazdan ses duyuluyor ama ekip yok 
Açık Adres:
‼️KAHRAMANMARAŞ DULKADİROĞLU İLÇESİ ASLAN BEY MAHALLESI 7061 SOKAK GÜNEŞLİ KOCABAŞ SİTESİ‼️

ENKAZ ALTINDA İREM AYYILDIZ

ENKAZ BAŞINDA ABLASI VAR
FATMA AYYILDIZ 05050932449
#iremayyıldız @haluklevent @ahbap @pqueenn @",2,['notr'],6,5,261,0,male,person,['enkaz'],1,0,0,0,high,"Tweet, enkaz koordinatları ve iletişim bilgileri vererek yardım çağrısında bulunuyor, bu nedenle problem odaklıdır."
58,1622406111516041216,2023-02-06 01:25:34,Çok fena salladı #deprem #erzurum #DEPREMOLDU,1,['notr'],8,1,3241,1,male,person,['#deprem'],0,1,0,0,medium,"Tweet, deprem anında yaşanan korku ve şaşkınlığı ifade ediyor."
